z,y,x
9.960533,9.2736,18.203733
15.112534,13.738667,18.5472
9.960533,15.799467,19.921066
14.769067,9.617066,19.234133
14.4256,7.8997335,18.5472
13.3952,9.617066,22.6688
7.8997335,9.960533,17.860268
16.4864,13.738667,18.890667
9.960533,14.4256,18.890667
7.8997335,10.990933,14.769067
7.556267,5.4954667,18.5472
8.2432,6.8693333,19.921066
8.2432,8.586667,23.012266
8.2432,7.8997335,19.5776
12.708267,13.738667,20.264534
12.3648,11.677867,17.173334
14.082133,14.4256,13.3952
8.2432,6.5258665,19.5776
7.8997335,8.586667,19.921066
7.556267,9.960533,22.325333
7.2128,7.556267,17.5168
13.3952,12.3648,19.5776
12.708267,10.990933,17.5168
14.082133,8.930134,21.294933
10.647467,5.8389335,20.951468
7.8997335,10.304,23.012266
6.5258665,8.586667,6.8693333
8.586667,12.3648,23.012266
13.3952,11.3344,19.5776
10.647467,9.2736,17.173334
16.4864,8.2432,19.234133
15.112534,6.5258665,19.234133
10.647467,7.8997335,24.042667
9.2736,10.647467,23.355734
7.556267,9.960533,8.930134
8.930134,9.617066,9.617066
13.3952,10.990933,18.203733
10.990933,5.4954667,18.890667
11.677867,6.5258665,19.5776
8.930134,7.8997335,23.012266
9.2736,8.2432,21.981867
9.617066,9.2736,9.2736
13.738667,8.930134,8.586667
18.203733,12.708267,15.799467
11.677867,6.5258665,18.890667
10.990933,8.2432,19.5776
8.930134,8.586667,23.355734
8.930134,7.2128,21.638401
8.930134,8.930134,19.921066
15.456,13.3952,18.890667
15.112534,12.021334,15.112534
9.617066,8.586667,18.5472
10.304,7.2128,19.921066
9.2736,7.556267,22.6688
7.8997335,9.617066,18.5472
6.5258665,8.2432,6.5258665
13.051733,12.3648,18.203733
10.647467,10.304,12.708267
10.647467,8.2432,18.203733
11.3344,7.556267,19.234133
9.960533,8.930134,20.951468
7.8997335,9.960533,18.203733
5.8389335,9.960533,5.4954667
12.3648,14.082133,16.4864
12.021334,10.304,16.4864
7.2128,5.8389335,18.5472
6.8693333,7.556267,19.234133
6.8693333,7.556267,21.638401
7.8997335,7.556267,18.203733
6.1824,8.586667,18.203733
9.2736,8.586667,18.5472
7.8997335,5.4954667,16.829866
7.556267,6.5258665,18.203733
8.586667,6.5258665,20.608
7.2128,6.8693333,18.890667
6.8693333,9.2736,19.234133
8.586667,9.2736,17.5168
9.617066,10.647467,16.829866
15.799467,14.082133,14.769067
10.990933,5.4954667,10.647467
6.1824,5.4954667,11.3344
6.1824,5.8389335,11.3344
6.8693333,5.8389335,10.647467
6.5258665,4.808533,5.4954667
6.8693333,5.152,16.142933
7.556267,8.2432,21.294933
5.4954667,7.8997335,15.112534
7.2128,8.2432,17.173334
6.1824,4.808533,11.3344
6.5258665,4.808533,6.5258665
6.1824,4.808533,5.4954667
7.2128,8.586667,21.638401
4.808533,5.8389335,13.3952
4.465067,4.808533,13.3952
4.465067,4.808533,10.647467
11.677867,8.2432,19.5776
12.021334,6.8693333,19.5776
10.304,9.2736,22.6688
8.930134,9.2736,21.294933
7.8997335,9.960533,7.8997335
12.708267,14.4256,19.5776
10.304,15.112534,19.234133
10.304,9.2736,19.234133
11.677867,7.556267,18.5472
10.304,8.2432,23.012266
7.556267,9.2736,20.608
6.5258665,9.2736,20.951468
13.3952,14.769067,17.5168
10.990933,15.456,17.860268
8.2432,6.1824,18.203733
7.8997335,6.1824,20.264534
7.8997335,8.2432,24.386133
7.556267,7.556267,19.5776
7.556267,8.930134,21.638401
11.677867,11.677867,7.2128
14.082133,16.4864,19.5776
8.586667,7.2128,17.5168
7.2128,7.8997335,19.234133
8.930134,8.2432,22.325333
7.556267,7.8997335,19.5776
6.8693333,7.8997335,20.951468
14.082133,11.3344,20.264534
15.456,13.051733,18.203733
12.708267,8.586667,21.981867
12.3648,8.2432,18.890667
10.304,9.2736,23.6992
8.2432,11.3344,17.860268
7.8997335,9.617066,19.5776
13.738667,14.082133,17.860268
12.021334,8.930134,21.638401
11.677867,8.930134,19.5776
9.2736,10.304,24.386133
7.8997335,10.647467,19.5776
6.8693333,9.617066,19.921066
11.677867,14.4256,18.890667
12.021334,14.769067,18.890667
11.677867,6.5258665,17.173334
12.3648,8.2432,19.234133
12.708267,9.617066,24.042667
9.617066,8.586667,22.325333
9.960533,8.586667,23.012266
15.799467,12.021334,21.294933
15.456,13.051733,21.638401
12.708267,13.738667,16.142933
12.708267,6.1824,16.142933
12.3648,6.5258665,19.5776
14.4256,8.586667,24.042667
11.677867,7.556267,19.921066
9.617066,8.586667,21.638401
14.769067,12.3648,20.951468
15.112534,15.456,19.921066
13.051733,14.769067,15.799467
16.142933,7.8997335,16.142933
16.142933,6.5258665,16.4864
17.173334,7.556267,22.325333
12.021334,8.2432,19.234133
8.586667,8.2432,19.5776
10.304,9.617066,5.152
15.799467,12.021334,19.5776
16.4864,7.8997335,17.5168
8.2432,6.5258665,8.2432
16.142933,9.617066,21.638401
10.304,10.647467,19.921066
7.556267,8.930134,19.5776
7.556267,7.8997335,4.808533
13.051733,13.3952,18.5472
8.2432,5.152,17.5168
8.2432,6.8693333,18.5472
8.2432,7.8997335,23.6992
7.8997335,8.586667,6.8693333
8.930134,7.556267,7.556267
8.586667,8.2432,7.556267
17.5168,13.3952,17.173334
8.2432,5.152,17.173334
7.8997335,5.8389335,18.203733
7.556267,7.2128,23.012266
5.152,6.5258665,4.1216
